Game,Top_Topics
"Invisible, Inc.","roguelike, roguelikes, roguelite, gameplay, roguelites"
Ion Fury,"yes, yep, yeah, yes yes, ye; remastered looks, remaster, remastered, remastered dont, gameplay"
Iratus: Lord of the Dead,
Iris and the Giant,"hearthstone, deckbuilders, deck, decks, deckbuilder"
Iron Danger,
Iron Harvest,
Iron Lung,
Iron Lung Soundtrack,"horrible soundtrack, soundtrack, old soundtrack, music dissapointing, murdering audio"
Iron Snout,"dark souls, kingdom hearts, infinitely replayable, replayability onetime, ride life"
Ironclad Tactics,"hearthstone, deckbuilders, deck, decks, deckbuilder"
Ironsight,"garbage, garbage garbage, hate, hate terraria, hate everything"
Is this Game Trying to Kill Me?,"perfect, absolutely perfect, perfect perfect, perfect excellent, excellent"
Island Saver,
Islands of Insight,"solve puzzles, adventure, puzzles, portal, puzzle"
Isle of Arrows,"tower defense, tower defence, rogue tower, like tower, best tower"
Isle of Skye,
Isles of Adalar,"doom 2016, doom eternal, doom, doom 12, well doom"
Isles of Sea and Sky,"solve puzzles, adventure, puzzles, portal, puzzle"
Islets,
Isonzo,"nope, nah, maybe nope, maybe, nah maybe"
Istanbul: Digital Edition,
Isuem's Elixir,"much gameplay, gameplay, characters, novel, ive read"
It Lurks Below,"city builder, base building, build, recommend, rimworld"
It Steals,
It Takes Two,"best coop, coop experience, coop friend, coop coop, coop; much gameplay, gameplay, characters, novel, ive read; made multiplayer, singleplayer, enjoyable friends, multiplayer, coop one"
It's Only Money,"price indie, ultimate edition, price, cost, humble bundle"
J.U.L.I.A.: Among the Stars,
JAGD LANZER,
JBMod,
JUJU,"invasion byzantine, im evil, hear jerusalem, puking priest, holy warred"
JUSTICE SUCKS: Tactical Vacuum Action,
Jagged Alliance - Back in Action,
Jagged Alliance 1: Gold Edition,
Jagged Alliance 3,"bullets reload, person shooter, innovative shooter, tactical shooter, like shooting"
Jagged Alliance: Rage!,"wait wait, say wait, nothing say, wait, god yeah"
Jalopy,"motorsport, realistic driving, much racing, racing like, mario kart; en, en iyi, bir oyun, bu oyunu, hndvask; negative reviews, negative review, reviews buy, positive review, reviews anyway"
Janosik,
Jazzpunk: Director's Cut,"invasion byzantine, im evil, hear jerusalem, puking priest, holy warred; 1110 best, 1110 funny, 1110, ever 1110, 1110 sad"
Jerking Off In Class Simulator,"nan, nan nan, exploding nan, nan exploding, nan darn"
Jet Island,
Jet Lancer,
Jet Set Radio,
Jitsu Squad,
JoJo's Bizarre Adventure: All-Star Battle R,"robes nothing, three robes, robes, cosmetic pack, downloadable content"
Joe Dever's Lone Wolf HD Remastered,
Jotun: Valhalla Edition,
Journey,"story mode, pilgrim saga, walking dead, narrative, observer insights"
Journey To The Savage Planet,"hearthstone, deckbuilders, deck, decks, deckbuilder"
Journey of a Roach,"solve puzzles, adventure, puzzles, portal, puzzle"
Journey to the Centre of the Cell,"ea, valve, fortnite, ubisoft, exclusive content"
Judgment: Apocalypse Survival Simulation,
Juicy Realm,
Jump King,"garbage, garbage garbage, hate, hate terraria, hate everything"
Jupiter Hell,"roguelike, roguelikes, roguelite, gameplay, roguelites; doom 2016, doom eternal, doom, doom 12, well doom"
Jurassic Park: The Game,
Jurassic World Evolution,
Jusant,
Just A Humble Swordsmith,
Just Cause,"nan, nan nan, exploding nan, nan exploding, nan darn; excellent port, port excellent, terrible port, final fantasy, nice port"
Just Cause 2,"remastered looks, remaster, remastered, remastered dont, gameplay; fps classic, best ever, ever greatest, best ive, greatest; well, gam well, well boy, gam, boy"
Just Cause 2 - Black Market Boom Pack DLC,
Just Cause 2: Bull's Eye Assault Rifle,"bullets reload, person shooter, innovative shooter, tactical shooter, like shooting"
Just Cause 2: Monster Truck DLC,
Just Cause 2: Multiplayer Mod,
Just Cause 4 Reloaded,"ok, fine, ok ok, ok fine, smart ok"
Just Cause™ 3,"en, en iyi, bir oyun, bu oyunu, hndvask; fps classic, best ever, ever greatest, best ive, greatest; ok, fine, ok ok, ok fine, smart ok"
Just Cause™ 3 DLC: Kousavá Rifle,
Just Cause™ 3: Multiplayer Mod,"yes, yep, yeah, yes yes, ye"
Just Die Already,"extremely addictive, addictive, pretty enjoyable, addicting, really recommend"
Just King,
Just Survive,"en, en iyi, bir oyun, bu oyunu, hndvask"
K2: Digital Edition,"excellent port, port excellent, terrible port, final fantasy, nice port"
KAMI,"solve puzzles, adventure, puzzles, portal, puzzle"
KARAKARA,
KARDS - The WW2 Card Game,"hearthstone, deckbuilders, deck, decks, deckbuilder"
KIBORG,
KIDS,
KINGDOM of the DEAD,
KNIGHTS,"solve puzzles, adventure, puzzles, portal, puzzle"
KUBOOM,
Kainga: Seeds of Civilization,
Kairo,"solve puzzles, adventure, puzzles, portal, puzzle"
Kane & Lynch 2: Dog Days,"gameplay, rpg, bad, characters, character; gep aaaaaaaahhh, harrrhurr ermrrmm, ermrrmm magurddd, together geyyyyyyy, brik stik; story mode, pilgrim saga, walking dead, narrative, observer insights"
Kane and Lynch: Dead Men™,
Kao the Kangaroo: Round 2 (2003 re-release),"best frenchise, frenchise ever, tis really, rly like, best"
Karradash - The Lost Dungeons,
Kasi,"kid named, named wheely, named snail, wheely kid, named grass"
Katana ZERO,
Kate: Collateral Damage,
Kathy Rain,
Kayak VR: Mirage,
Kaze and the Wild Masks,
Keep Talking and Nobody Explodes,"playable bugs, ps4 controller, unplayable, playstation controller, playable updates"
Ken Follett's The Pillars of the Earth,"rpg, gameplay, adventure, buy adventure, pokemon"
Kena: Bridge of Spirits,"gooddddd, back gooddddd, back, come, come back"
Kenshi,"brazil simulator, serbia simulator, simulator bolivia, simulator amazing, ukraine simulator"
Kentucky Route Zero: PC Edition,"rpg, gameplay, adventure, buy adventure, pokemon"
Kerbal Space Program,"space combat, galactic civilizations, subnautica, endless space, gameplay"
Kerker,"keeps crashing, glitching, constantly crashes, unplayable, fps"
Kero Blaster,
Kholat,"horror experience, horror, psychological horror, survival horror, silent hill"
Kill It With Fire,"combat system, move infantry, operation northwoods, strategy, combat; price indie, ultimate edition, price, cost, humble bundle"
Kill It With Fire: HEATWAVE,"nice, nice nice, nice nicee, nicee nice, nicee"
Kill to Collect,"roguelike, roguelikes, roguelite, gameplay, roguelites"
KillSteel,
Killer Frequency,
Killer is Dead - Nightmare Edition,"keeps crashing, glitching, constantly crashes, unplayable, fps"
Killing Floor,"zombie survival, kill zombies, best zombie, zombies, zombie"
Killing Floor 2,"leaderboard, global leaderboard, see leaderboard, leaderboard unlikely, leaderboard end; kid named, named wheely, named snail, wheely kid, named grass; ea, valve, fortnite, ubisoft, exclusive content"
Killing Floor: Incursion,"leaderboard, global leaderboard, see leaderboard, leaderboard unlikely, leaderboard end"
Killing Room,"garbage, garbage garbage, hate, hate terraria, hate everything"
Killsquad,
Kilta,
Kimmy,
Kind Words (lo fi chill beats to write to),
Kindergarten,"rpg, gameplay, adventure, buy adventure, pokemon"
Kinetic Void,
King Arthur - The Role-playing Wargame,
King Arthur: Knight's Tale,
King Arthur: Legion IX,"gameplay, rpg, bad, characters, character"
King Rabbit - Puzzle,
King and Assassins,"excellent port, port excellent, terrible port, final fantasy, nice port"
King of Retail,
King of the Bridge,"story mode, pilgrim saga, walking dead, narrative, observer insights"
King's Bounty II,
King's Bounty: The Legend,
King's Quest,
King's Quest - Chapter 2: Rubble Without A Cause,
Kingdom Come: Deliverance,"invasion byzantine, im evil, hear jerusalem, puking priest, holy warred; en, en iyi, bir oyun, bu oyunu, hndvask; gameplay, rpg, bad, characters, character"
Kingdom Come: Deliverance II,"gameplay, sequel, remaster, original adventures, improved"
Kingdom Come: Deliverance – HD Sound Pack,"keeps crashing, glitching, constantly crashes, unplayable, fps"
Kingdom Rush  - Tower Defense,"tower defense, tower defence, rogue tower, like tower, best tower"
Kingdom Rush Frontiers - Tower Defense,"tower defense, tower defence, rogue tower, like tower, best tower"
Kingdom Rush Origins - Tower Defense,"amazing start, nice, nice nice, nice story, nice tech"
Kingdom Rush Vengeance - Tower Defense,"bad, bad bad, bad yea, horribly bad, bad yeah"
Kingdom Two Crowns,"amazing, incredible, fantastic, amazing amazing, magnificent"
Kingdom: Classic,"well, gam well, well boy, gam, boy"
Kingdom: New Lands - Skull Island,
Kingdoms CCG,"nan, nan nan, exploding nan, nan exploding, nan darn"
Kingdoms and Castles,"city builder, base building, build, recommend, rimworld"
Kingdoms of Amalur: Reckoning™,
Kings and Heroes,
Kings of Israel,
Kingspray Graffiti VR,
Kitaria Fables,"combat system, move infantry, operation northwoods, strategy, combat"
Knightfall: A Daring Journey,"time killer, funnny lov, funnny, fr funnny, killer"
Knights in Tight Spaces,
Knights in Tight Spaces Demo,
Knights of Pen and Paper +1 Edition,"playable bugs, ps4 controller, unplayable, playstation controller, playable updates; gameplay, rpg, bad, characters, character"
Knock on the Coffin Lid,"slay spire, slay spirelike, spire, spire like, spire clone"
Knockout City™,
Knytt Underground,
Kohan II: Kings of War,
Kohan: Ahriman's Gift,"gameplay, warhammer, multiplayer, campaign, missions"
Kona,
KovaaK's,
Krunker,"ea, valve, fortnite, ubisoft, exclusive content; bad, bad bad, bad yea, horribly bad, bad yeah"
Kyn,
Kynseed,
L.A. Noire,"gta, gta5, gta4, gta iv, gta online; solve puzzles, adventure, puzzles, portal, puzzle; 1110 best, 1110 funny, 1110, ever 1110, 1110 sad"
LARA CROFT AND THE TEMPLE OF OSIRIS™,"solve puzzles, adventure, puzzles, portal, puzzle"
LEAVES - The Journey,"solve puzzles, adventure, puzzles, portal, puzzle"
LEAVES - The Return,"solve puzzles, adventure, puzzles, portal, puzzle"
LEGO® Batman™ 2: DC Super Heroes,"batman arkham, arkham series, arkham knight, arkham, arkham city"
LEGO® Batman™: The Videogame,"batman arkham, arkham series, arkham knight, arkham, arkham city"
LEGO® City Undercover,"1110 best, 1110 funny, 1110, ever 1110, 1110 sad; thumb thumb, thumb, funny thumb, fingers, fingers hole"
LEGO® DC Super-Villains,
LEGO® Harry Potter: Years 5-7,"keeps crashing, glitching, constantly crashes, unplayable, fps"
LEGO® Indiana Jones™ 2: The Adventure Continues,
LEGO® Indiana Jones™: The Original Adventures,"amazing, incredible, fantastic, amazing amazing, magnificent; gameplay, sequel, remaster, original adventures, improved"
LEGO® MARVEL's Avengers,"batman arkham, arkham series, arkham knight, arkham, arkham city"
LEGO® Marvel Super Heroes 2,"yes, yep, yeah, yes yes, ye"
LEGO® Marvel™ Super Heroes,"little charming, charming little, charming, excited, touching little; yes, yep, yeah, yes yes, ye"
LEGO® STAR WARS™: The Force Awakens,"ok, fine, ok ok, ok fine, smart ok"
LEGO® Star Wars™ - The Complete Saga,"robes nothing, three robes, robes, cosmetic pack, downloadable content"
LEGO® Star Wars™ III - The Clone Wars™,"well, gam well, well boy, gam, boy"
LEGO® Star Wars™: The Skywalker Saga,"perfect, absolutely perfect, perfect perfect, perfect excellent, excellent; combat system, move infantry, operation northwoods, strategy, combat"
LET IT DIE,
LEWDAPOCALYPSE Guns&Roses,
LEWDAPOCALYPSE Hentai Evil,"remastered looks, remaster, remastered, remastered dont, gameplay; extremely addictive, addictive, pretty enjoyable, addicting, really recommend"
LIMBO,"gooddddd, back gooddddd, back, come, come back"
LISA: The Painful,
LOCKDOWN Protocol,
LOGistICAL 3: Earth,"story mode, pilgrim saga, walking dead, narrative, observer insights"
LOK Digital,"solve puzzles, adventure, puzzles, portal, puzzle"
LONESTAR,
LOST EMBER,"gameplay, rpg, bad, characters, character; much gameplay, gameplay, characters, novel, ive read"
LOST PLANET® 3,"gameplay, sequel, remaster, original adventures, improved; keeps crashing, glitching, constantly crashes, unplayable, fps"
LOVE,"rpg, gameplay, adventure, buy adventure, pokemon"
LUFTRAUSERS,
LVN Fake News,"much gameplay, gameplay, characters, novel, ive read"
Labyrinth,"ea, valve, fortnite, ubisoft, exclusive content"
Labyrinth of the Witch,
Labyrinth: The War on Terror,"excellent port, port excellent, terrible port, final fantasy, nice port"
Labyrinthine,
Labyrinthine Dreams,"gameplay, rpg, bad, characters, character"
Lacuna – A Sci-Fi Noir Adventure,
Lake,
Lambda Wars,"gameplay, warhammer, multiplayer, campaign, missions"
Lamplight City,
Landfall Archives,"gg, dnt gg, gg gg, gg pk, gfhfghfgh dnt"
Landlord's Super,
Landnama,
Lands of Sorcery,
Lara Croft GO,
Lara Croft and the Guardian of Light,"best coop, coop experience, coop friend, coop coop, coop"
Last Day of June,"much gameplay, gameplay, characters, novel, ive read"
Last Epoch,"diablo, diablo diablo, successor diablo, better diablo, strategy diablo2"
Last Hope - Tower Defense,
Last Horizon,"space combat, galactic civilizations, subnautica, endless space, gameplay"
Last Kingdom - The Card Game,"hearthstone, deckbuilders, deck, decks, deckbuilder"
Last Neighbor,
Last Oasis,
Last Regiment,
Last Train Home,
Last Year,"keeps crashing, glitching, constantly crashes, unplayable, fps"
Late Shift,"horror experience, horror, psychological horror, survival horror, silent hill; keeps crashing, glitching, constantly crashes, unplayable, fps"
Lawn Mowing Simulator,"invasion byzantine, im evil, hear jerusalem, puking priest, holy warred"
Lawnmower Game: Next Generation,
Layers of Fear (2016),"horror experience, horror, psychological horror, survival horror, silent hill"
Le Havre: The Inland Port,
Le Mans Ultimate,"motorsport, realistic driving, much racing, racing like, mario kart"
Leaf Blower Revolution - Idle Game,"nan, nan nan, exploding nan, nan exploding, nan darn"
League of Masters: Auto Chess,"negative reviews, negative review, reviews buy, positive review, reviews anyway"
Leap of Fate,"roguelike, roguelikes, roguelite, gameplay, roguelites"
Learn to Fly 3,"kid named, named wheely, named snail, wheely kid, named grass"
Leave No One Behind: Ia Drang,
Left 4 Dead,"gameplay, sequel, remaster, original adventures, improved; combat system, move infantry, operation northwoods, strategy, combat; best zombies, zombies best, best zombie, zombie kill, many zombie"
Left 4 Dead 2,"best zombies, zombies best, best zombie, zombie kill, many zombie; nan, nan nan, exploding nan, nan exploding, nan darn; time killer, funnny lov, funnny, fr funnny, killer"
Legacy of Kain: Soul Reaver,
Legend of Grimrock,"gameplay, rpg, bad, characters, character"
Legend of Grimrock 2,"gameplay, sequel, remaster, original adventures, improved"
Legend of Keepers: Career of a Dungeon Manager,"roguelike, roguelikes, roguelite, gameplay, roguelites"
Legend of Keepers: Prologue,"roguelike, roguelikes, roguelite, gameplay, roguelites; bad, bad bad, bad yea, horribly bad, bad yeah"
Legend of Long Night,
Legendary,
Legendary DXP,"gameplay, rpg, bad, characters, character"
Legends of Amberland: The Forgotten Crown,
Legends of Eisenwald,
Legends of Kingdom Rush,"bad, bad bad, bad yea, horribly bad, bad yeah"
Legion TD 2 - Multiplayer Tower Defense,"extremely addictive, addictive, pretty enjoyable, addicting, really recommend"
Leisure Suit Larry - Wet Dreams Don't Dry,
Leisure Suit Larry 1 - In the Land of the Lounge Lizards,"fps classic, best ever, ever greatest, best ive, greatest"
Lemnis Gate,"keeps crashing, glitching, constantly crashes, unplayable, fps"
Len's Island,"early access, gameplay approachable, early point, ea much, gameplay else"
Let's Go! My Harem Farm,"vibe dope, dope, dope nice, finally fcking, vibe"
Lethal Company,"time killer, funnny lov, funnny, fr funnny, killer; best frenchise, frenchise ever, tis really, rly like, best"
Lethal League Blaze,
Lethis - Path of Progress,
Lexica,"solve puzzles, adventure, puzzles, portal, puzzle"
Liar's Bar,"keeps crashing, glitching, constantly crashes, unplayable, fps"
Lichdom: Battlemage,
Lies of P,"leaderboard, global leaderboard, see leaderboard, leaderboard unlikely, leaderboard end; amazing cdpr, enjoyed graphics, gameplay stellar, gameplay entertaining, gameplay brilliant; bad, bad bad, bad yea, horribly bad, bad yeah"
Life in Bunker,"city builder, base building, build, recommend, rimworld"
Life is Feudal: Your Own,
Life is Strange - Episode 1,"story mode, pilgrim saga, walking dead, narrative, observer insights; much gameplay, gameplay, characters, novel, ive read; en, en iyi, bir oyun, bu oyunu, hndvask"
Life is Strange 2,"halflife, half life, halflife source, life series, original half; perfect perfect, perfect, continues perfect, perfect fuuny, fuuny perfect"
Life is Strange: Before the Storm,"remastered looks, remaster, remastered, remastered dont, gameplay; en, en iyi, bir oyun, bu oyunu, hndvask"
Life is Strange: Before the Storm Episode 2,
Life is Strange: Before the Storm Episode 3,
Life is Strange: Before the Storm Farewell,"downloadable content, dlc, dlcs, season pass, content offers"
Lifeless Planet Premier Edition,
Light Hunters: Battalion of Darkness,
Lightmatter,"solve puzzles, adventure, puzzles, portal, puzzle"
Lightning: D-Day,"hearthstone, deckbuilders, deck, decks, deckbuilder"
Like a Dragon Gaiden: The Man Who Erased His Name,"rpg, gameplay, adventure, buy adventure, pokemon"
Like a Dragon: Infinite Wealth,"leaderboard, global leaderboard, see leaderboard, leaderboard unlikely, leaderboard end"
Lilycle Rainbow Stage!!!,
Lima Hati di Bawah Satu Atap Demo,"much gameplay, gameplay, characters, novel, ive read"
Line Strike,"nan, nan nan, exploding nan, nan exploding, nan darn"
Little Big Workshop,"city builder, base building, build, recommend, rimworld"
Little Inferno,
Little Misfortune,
Little Nightmares,"horror experience, horror, psychological horror, survival horror, silent hill; bad, bad bad, bad yea, horribly bad, bad yeah; nan, nan nan, exploding nan, nan exploding, nan darn"
Little Nightmares II,"gameplay, sequel, remaster, original adventures, improved; horror experience, horror, psychological horror, survival horror, silent hill; remastered looks, remaster, remastered, remastered dont, gameplay"
Little Witch Nobeta,"dark souls, soulslike, soul dark, souls, souls though"
Loading Screen Simulator,"gta, gta5, gta4, gta iv, gta online"
Lobotomy Corporation | Monster Management Simulation,"nan, nan nan, exploding nan, nan exploding, nan darn"
Lock 'n Load Tactical Digital: Core Game,
Lock 'n Load Tactical Digital: Heroes Against the Red Star Battlepack 1,"best frenchise, frenchise ever, tis really, rly like, best"
Lock 'n Load Tactical Digital: Heroes of the Nam Battlepack 1,
Logistique Act. 1,"halflife, half life, halflife source, life series, original half"
Lonely Yuri,"story mode, pilgrim saga, walking dead, narrative, observer insights"
Loop Hero,"extremely addictive, addictive, pretty enjoyable, addicting, really recommend; vraiment, ce jeu, un jeu, que je, ce que"
Loot Hound™,
Loot Rascals,
Loot River,"roguelike, roguelikes, roguelite, gameplay, roguelites"
Lords Of The Fallen™ 2014,"dark souls, soulslike, soul dark, souls, souls though"
Lords and Villeins,"city builder, base building, build, recommend, rimworld"
Lords of War,"ea, valve, fortnite, ubisoft, exclusive content"
Lords of Xulima,"im addicted, addicted, actually addicted, addiction im, addiction"
Lords of the Realm II,
Lorenzo il Magnifico,
Lossless Scaling,"keeps crashing, glitching, constantly crashes, unplayable, fps; gooddddd, back gooddddd, back, come, come back"
Lost Civilization,"solve puzzles, adventure, puzzles, portal, puzzle"
Lost Judgment,"1010 incredible, die 1010, perfect 1010, died 1010, 1010"
Lost Planet™: Extreme Condition,"space combat, galactic civilizations, subnautica, endless space, gameplay"
Lost Ruins,"combat system, move infantry, operation northwoods, strategy, combat"
Lost in Random™,
Lost in Vivo,"horror experience, horror, psychological horror, survival horror, silent hill; gg, dnt gg, gg gg, gg pk, gfhfghfgh dnt"
Lotte,"solve puzzles, adventure, puzzles, portal, puzzle"
Love Esquire - RPG/Dating Sim/Visual Novel,"bad, bad bad, bad yea, horribly bad, bad yeah"
Love Ribbon,
Love Sucks: Night One,"horrible soundtrack, soundtrack, old soundtrack, music dissapointing, murdering audio"
Love Thyself - A Horatio Story,
Love at First Sight,"much gameplay, gameplay, characters, novel, ive read"
Love of Magic,"much gameplay, gameplay, characters, novel, ive read"
Lovecraft's Untold Stories,"roguelike, roguelikes, roguelite, gameplay, roguelites"
Low Magic Age,"robes nothing, three robes, robes, cosmetic pack, downloadable content"
Lucah: Born of a Dream,
Lucius II,
Luck be a Landlord,"gameplay, rpg, bad, characters, character; hearthstone, deckbuilders, deck, decks, deckbuilder"
"Luckily, My Arm Is A Shotgun",
Lucky Mayor,"city builder, base building, build, recommend, rimworld"
Lumencraft,"gameplay, warhammer, multiplayer, campaign, missions"
Lumino City,"solve puzzles, adventure, puzzles, portal, puzzle"
Luna's Fishing Garden,
Luna's Wandering Stars,"space combat, galactic civilizations, subnautica, endless space, gameplay"
Lunch Lady,"extremely addictive, addictive, pretty enjoyable, addicting, really recommend"
Lurk in the Dark : Prologue,
Lust for Darkness,"much gameplay, gameplay, characters, novel, ive read"
Lust from Beyond,
Lust from Beyond: Prologue,
Lust from Beyond: Scarlet,"horror experience, horror, psychological horror, survival horror, silent hill"
MADNESS: Project Nexus,
MANDAGON,
MARVEL Puzzle Quest,"im addicted, addicted, actually addicted, addiction im, addiction; robes nothing, three robes, robes, cosmetic pack, downloadable content"
MARVEL SNAP,
MASSIVE CHALICE,"gameplay, rpg, bad, characters, character"
MELTY BLOOD: TYPE LUMINA,"remastered looks, remaster, remastered, remastered dont, gameplay"
METAL BEANS,
METAL GEAR SOLID - Master Collection Version,"gameplay, sequel, remaster, original adventures, improved; excellent port, port excellent, terrible port, final fantasy, nice port"
METAL GEAR SOLID 2: Sons of Liberty - Master Collection Version,"1010 incredible, die 1010, perfect 1010, died 1010, 1010"
METAL GEAR SOLID 3: Snake Eater - Master Collection Version,"bullets reload, person shooter, innovative shooter, tactical shooter, like shooting"
METAL GEAR SOLID V: GROUND ZEROES,"garbage, garbage garbage, hate, hate terraria, hate everything; cod campaign, best cod, campaign cod, cod series, cod multiplayer"
METAL GEAR SOLID V: THE PHANTOM PAIN,"garbage, garbage garbage, hate, hate terraria, hate everything; nan, nan nan, exploding nan, nan exploding, nan darn; bullets reload, person shooter, innovative shooter, tactical shooter, like shooting"
METAL GEAR SOLID V: THE PHANTOM PAIN - Jumpsuit (EVA),"robes nothing, three robes, robes, cosmetic pack, downloadable content"
METAL SLUG,"kid named, named wheely, named snail, wheely kid, named grass; gooddddd, back gooddddd, back, come, come back"
METAL SLUG 3,"kid named, named wheely, named snail, wheely kid, named grass"
METAL SLUG X,"kid named, named wheely, named snail, wheely kid, named grass"
MIAZMA or the Devil's Stone,
MIND: Path to Thalamus Enhanced Edition,
MISTROGUE: Mist and the Living Dungeons,
MMA Arena,
MONMUSU,
MONOPOLY Poker,
MONOPOLY® PLUS,
MONSTER HUNTER RISE,
MORDHAU,"robes nothing, three robes, robes, cosmetic pack, downloadable content; 1010, 1010 everything, 1010 said, 1010 would, 1010 1010; keeps crashing, glitching, constantly crashes, unplayable, fps"
MOTHERGUNSHIP,"best coop, coop experience, coop friend, coop coop, coop"
MULLET MADJACK,
MacGuffin's Curse,
Machina Blade,"jrpg, gameplay, undertale, persona, characters"
Machinarium,"solve puzzles, adventure, puzzles, portal, puzzle; soundtrackmusic, soundtrackmusic ive, soundtrack music, soundtracks ill, soundtrack"
Mad Max,"well, gam well, well boy, gam, boy; best coop, coop experience, coop friend, coop coop, coop; dark souls, kingdom hearts, infinitely replayable, replayability onetime, ride life"
Mad World  - Age of Darkness - MMORPG,
Made in Abyss: Binary Star Falling into Darkness,
Maelstrom,
Mafia,"remastered looks, remaster, remastered, remastered dont, gameplay"
Mafia II (Classic),"keeps crashing, glitching, constantly crashes, unplayable, fps; downloadable content, dlc, dlcs, season pass, content offers; perfect, absolutely perfect, perfect perfect, perfect excellent, excellent"
Mafia II: Definitive Edition,"ok, fine, ok ok, ok fine, smart ok"
Mafia III: Definitive Edition,
"Mafia III: Faster, Baby!",
Mafia III: Sign of the Times,"downloadable content, dlc, dlcs, season pass, content offers"
Mafia III: Stones Unturned,"downloadable content, dlc, dlcs, season pass, content offers"
Mafia: Definitive Edition,"remastered looks, remaster, remastered, remastered dont, gameplay; motorsport, realistic driving, much racing, racing like, mario kart; extremely addictive, addictive, pretty enjoyable, addicting, really recommend"
Mage and Monsters,"playable bugs, ps4 controller, unplayable, playstation controller, playable updates"
MageQuit,
Mages of Mystralia,
Magic Archery,
Magic Duels,
Magic Potion Destroyer,
Magic Potion Explorer,
Magic Potion Millionaire,"soundtrackmusic, soundtrackmusic ive, soundtrack music, soundtracks ill, soundtrack"
Magic of Autumn,"hearthstone, deckbuilders, deck, decks, deckbuilder"
Magical Diary: Horse Hall,"story mode, pilgrim saga, walking dead, narrative, observer insights"
Magicka,
Magicka 2,"playable bugs, ps4 controller, unplayable, playstation controller, playable updates; best coop, coop experience, coop friend, coop coop, coop"
Magicka: Aspiring Musician Robes,"robes nothing, three robes, robes, cosmetic pack, downloadable content"
Magicka: Dungeons and Daemons,"downloadable content, dlc, dlcs, season pass, content offers"
Magicka: Dungeons and Gargoyles,"downloadable content, dlc, dlcs, season pass, content offers"
Magicka: Final Frontier,"robes nothing, three robes, robes, cosmetic pack, downloadable content"
Magicka: Free Jolnirs Workshop,"downloadable content, dlc, dlcs, season pass, content offers"
Magicka: Frozen Lake,
Magicka: Gamer Bundle,"robes nothing, three robes, robes, cosmetic pack, downloadable content"
Magicka: Grimnir's Laboratory,"robes nothing, three robes, robes, cosmetic pack, downloadable content"
Magicka: Heirlooms Item Pack,"robes nothing, three robes, robes, cosmetic pack, downloadable content"
Magicka: Holiday Spirit Item Pack,"robes nothing, three robes, robes, cosmetic pack, downloadable content"
Magicka: Horror Props Item Pack,"robes nothing, three robes, robes, cosmetic pack, downloadable content"
Magicka: Lonely Island Cruise,
Magicka: Marshlands,
Magicka: Mega Villain Robes,"robes nothing, three robes, robes, cosmetic pack, downloadable content"
Magicka: Nippon,"robes nothing, three robes, robes, cosmetic pack, downloadable content"
Magicka: Party Robes DLC,"robes nothing, three robes, robes, cosmetic pack, downloadable content"
Magicka: Peculiar Gadgets Item Pack,"robes nothing, three robes, robes, cosmetic pack, downloadable content"
Magicka: The Other Side of the Coin,"downloadable content, dlc, dlcs, season pass, content offers"
Magicka: The Stars Are Left,"downloadable content, dlc, dlcs, season pass, content offers"
Magicka: The Watchtower,
Magicka: Tower of Niflheim,
Magicka: Vietnam,"downloadable content, dlc, dlcs, season pass, content offers"
Magicka: Wizard's Survival Kit,"downloadable content, dlc, dlcs, season pass, content offers"
Magicmaker,
Magicraft,
Mahjong Strip Solitaire: Harem Guild,
Mahokenshi - The Samurai Deckbuilder,"hearthstone, deckbuilders, deck, decks, deckbuilder"
Maid of Sker,
Mainframe Defenders,"roguelike, roguelikes, roguelite, gameplay, roguelites"
Man O' War: Corsair - Warhammer Naval Battles,"gameplay, warhammer, multiplayer, campaign, missions"
ManaRocks,
Mandy's Room 2: Naughty By Nature,
Maneater,
Maneater: Truth Quest,"downloadable content, dlc, dlcs, season pass, content offers"
Manhunt,"excellent port, port excellent, terrible port, final fantasy, nice port"
Maniac,"gta, gta5, gta4, gta iv, gta online"
Manifold Garden,"solve puzzles, adventure, puzzles, portal, puzzle"
Manna for our Malices,"much gameplay, gameplay, characters, novel, ive read"
Manor Lords,
Manual Samuel - Last Tuesday Edition,
MarZ: Tactical Base Defense,
Marauders,"ea, valve, fortnite, ubisoft, exclusive content"
Marble It Up! Ultra,"horrible soundtrack, soundtrack, old soundtrack, music dissapointing, murdering audio"
March to Glory,"combat system, move infantry, operation northwoods, strategy, combat"
Mare Nostrvm,"brilliant rpg, incredible, amazing atmosphere, amazing amazing, amazing bomb"
Mark of the Ninja: Remastered,"cops robbers, splinter cell, robocop, gameplay, swat"
Mars Horizon,"space combat, galactic civilizations, subnautica, endless space, gameplay"
Mars Power Industries Deluxe,"solve puzzles, adventure, puzzles, portal, puzzle"
Martial Law,
Marvel Rivals,"vraiment, ce jeu, un jeu, que je, ce que; negative reviews, negative review, reviews buy, positive review, reviews anyway"
Marvel's Avengers - The Definitive Edition,"batman arkham, arkham series, arkham knight, arkham, arkham city"
Marvel's Guardians of the Galaxy,"really excellent, fantastic, excellent fantastic, excellent excellent, excellent; much gameplay, gameplay, characters, novel, ive read"
Marvel's Guardians of the Galaxy: The Telltale Series,"space combat, galactic civilizations, subnautica, endless space, gameplay"
Marvel's Midnight Suns,"hearthstone, deckbuilders, deck, decks, deckbuilder"
